,Reaction,Total Sens,Sens Type
130,CO + 2 [Pt] <=> C[Pt] + O[Pt],0.628964197672834,MaxT
131,CO + 2 [Pt] <=> C[Pt] + O[Pt],719.6890363232333,DistToMaxT
132,CO + 2 [Pt] <=> C[Pt] + O[Pt],1.207806761160147,O2Conv
133,CO + 2 [Pt] <=> C[Pt] + O[Pt],8.350387695810793,MaxRateCH4Conv
134,CO + 2 [Pt] <=> C[Pt] + O[Pt],30.85199963634728,DistTo50CH4Conv
135,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],12.72976034901953,SynGasSelec
136,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],21.68716392742244,SynGasYield
137,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],13.978722368334903,COSelec
138,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],21.12692391770553,COYield
139,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],13.854407634039298,H2Selec
140,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],22.531229723930515,H2Yield
141,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],10.908401058836626,CH4Conv
142,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],28.911402542148437,FullOxSelec
143,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],18.858614002845425,FullOxYield
144,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],5.376170041482357,ExitT
145,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],0.7566264369299524,MaxT
146,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],173.06453592576133,DistToMaxT
147,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],1.0022587021813607,O2Conv
148,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],7.135133557563471,MaxRateCH4Conv
149,O=C[Pt] + C~[Pt] <=> C#[Pt] + O=C=[Pt],29.953548025096563,DistTo50CH4Conv
150,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],18.30269076039453,SynGasSelec
151,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],32.22891740406584,SynGasYield
152,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],18.871794431395525,COSelec
153,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],30.191556329850705,COYield
154,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],23.090135765446767,H2Selec
155,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],39.306763199074545,H2Yield
156,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],15.07430607544336,CH4Conv
157,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],39.01995117048164,FullOxSelec
158,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],29.174103922784187,FullOxYield
159,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],7.564903305964787,ExitT
160,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],1.0851350267044182,MaxT
161,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],362.972642991406,DistToMaxT
162,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],5.832811968057626,O2Conv
163,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],24.47336328372665,MaxRateCH4Conv
164,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],37.36026459133077,DistTo50CH4Conv
165,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],32.08428408782038,SynGasSelec
166,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],38.472992264363064,SynGasYield
167,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],34.200019642221385,COSelec
168,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],38.81734121987942,COYield
169,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],63.871990210949335,H2Selec
